Iteration,SampleCount,S_RADIUS_EST,S_RADIUS_EST_Weight
56,50,,
55,148,1.1477516902462885e-15,142
54,75,7.87505653907844e-15,59
53,34,1.4858484812900011e-15,30
52,25,2.527018998095669e-15,22
51,120,2.798521148909839e-14,117
50,77,8.222365171407525e-05,69
49,139,0.02205504919616182,126
48,146,0.04882864856108597,130
47,207,0.007949038997220326,188
46,180,0.04228991547932017,153
45,56,0.2809652840627165,38
44,1225,0.2550292543102819,1222
43,130,0.16355483763347037,9
42,605,0.14654565082557744,603
41,76,0.4915063346156836,4
40,1,,
39,3,,
38,1,,
37,7,,
36,25,,
35,6,0.15867397817886808,2
34,12,0.1285210554980961,8
33,17,3.0984406496152417,5
32,10,1.042819235661379,8
31,54,0.1365800260446297,27
30,9,,
29,9,1.240626121991762,6
28,4,,
27,13,0.3137474602860208,5
26,6,,
25,67,0.14047529020777702,3
23,3,,
19,1,,
16,1,,
