Iteration,SampleCount,S_RADIUS_EST,S_RADIUS_EST_Weight
56,49,0.7900931563200028,48
55,147,0.5252706685608283,139
54,76,0.5934827849834443,57
53,37,0.32622016720150626,31
52,23,0.5821824628640341,21
51,110,0.3669663572001116,106
50,99,0.6777220027240209,80
49,128,0.694209261556523,126
48,156,0.4657706428291529,140
47,209,0.2651240281229591,200
46,163,0.2237355288762159,148
45,61,0.33760283380973233,38
44,1209,0.2648531551533417,1206
43,146,0.15112698526564886,9
42,611,0.23526405273567771,609
41,70,0.9042988958580714,4
40,1,,
39,3,,
38,1,,
37,6,,
36,26,0.30820761973073785,25
35,6,0.40472418524090026,2
34,13,0.21105094193670942,9
33,15,0.5685824630849492,4
32,13,0.6243545509189331,10
31,53,0.07858079364028751,28
30,8,,
29,9,0.4141964134811601,6
28,4,,
27,13,0.34299154288673145,5
26,6,,
25,66,1.4013595223987205,2
24,1,,
23,3,,
19,1,,
16,1,,
