Iteration,SampleCount,S_RADIUS_EST,S_RADIUS_EST_Weight
56,53,1.093869658589967,52
55,144,0.24206466518442996,140
54,73,0.12772720562690312,55
53,37,0.14990081036821362,29
52,24,0.2390147072199258,20
51,116,0.1367805630051165,111
50,92,0.3087437109286564,78
49,133,0.22440473711452208,129
48,143,0.18210766933325281,130
47,215,0.09028139707459396,196
46,178,0.07447167303095366,159
45,51,0.10995096221548735,39
44,1199,0.06548763796311555,1197
43,154,0.06619668355721132,8
42,621,0.07166084516074313,618
41,60,0.3307675472054363,3
40,1,,
39,3,0.09464761670960087,2
38,2,0.011519633203725288,1
37,6,,
36,26,0.09717382999570544,25
35,6,0.5025789170833558,2
34,13,0.5348373219501937,9
33,16,2.392220297048676,5
32,11,0.5698959308600907,9
31,54,0.03432297029264183,28
30,8,,
29,9,0.20988597461478892,6
28,4,,
27,12,0.3093287521450814,4
26,7,,
25,67,0.5058749170982697,3
23,3,,
19,1,,
16,1,,
