Iteration,SampleCount,S_RADIUS_EST,S_RADIUS_EST_Weight
56,50,,
55,146,0.0548648502562352,140
54,72,0.031427754942206045,54
53,40,0.038890373199213804,31
52,25,0.06123906905034559,23
51,112,0.03178568462359763,110
50,88,0.04139824174261813,73
49,139,0.03649125207042759,130
48,145,0.05260648288511021,133
47,210,0.03798843977259875,194
46,178,0.03007657366036397,157
45,48,0.035381762108303995,34
44,1217,0.02434322590323484,1210
43,144,0.02141354443396297,11
42,610,,
41,69,0.01025408286864693,4
40,1,,
39,2,,
38,2,0.36249062785057196,1
37,7,,
36,26,,
35,4,0.02641072717423376,1
34,13,0.2600306405548053,8
33,17,2.1859734077500907,5
32,12,0.6181599884018416,10
31,51,0.024580605864260082,26
30,10,,
29,8,0.1454022313900386,5
28,5,,
27,12,0.22801435127134406,4
26,7,,
25,67,0.46396921021869486,3
23,3,,
19,1,,
16,1,,
