Iteration,SampleCount,S_RADIUS_EST,S_RADIUS_EST_Weight
56,49,,
55,142,0.9328758282245803,135
54,80,0.919514921778346,57
53,35,1.0231191473340209,29
52,29,1.0970668773496572,25
51,111,,
50,87,0.9699361902076487,73
49,135,0.8860952671190886,126
48,151,0.9087153972715065,135
47,210,0.9852767357650672,196
46,172,0.9997481000962846,153
45,57,1.0221163601900578,39
44,1193,0.9646244520004422,1191
43,162,1.009585820225673,10
42,630,0.9383453138706913,629
41,50,0.7798967778619424,4
40,1,,
39,3,,
38,1,,
37,6,,
36,27,0.8751164087586693,26
35,4,1.1494405764171245,1
34,14,0.7854614487525496,9
33,16,3.0173336697952085,5
32,11,0.9698437922327381,9
31,53,0.9351714750690798,27
30,9,,
29,9,1.0694189981378301,6
28,4,,
27,13,0.8601416077197591,5
26,6,,
25,66,1.165535077400727,2
24,1,,
23,3,,
19,1,,
16,1,,
