Iteration,SampleCount,S_SNOW_LINE,S_SNOW_LINE_Weight
56,54,1.4709022476923077,52
55,144,1.190994029596059,140
54,76,1.3284172541305141,58
53,36,1.4873903379342555,31
52,24,1.5535698662811588,22
51,114,1.2218890947608956,111
50,87,1.2522103124032955,73
49,136,1.3722954713868087,127
48,153,1.5006725074443372,138
47,202,1.3977331928511199,191
46,179,1.551324543027868,155
45,51,1.4070972652014373,35
44,1205,0.9292380133475415,1199
43,155,1.0117741786133299,11
42,619,,
41,59,1.5347442360060888,3
40,2,,
39,3,,
38,1,,
37,7,0.07642606787145523,2
36,23,,
35,8,,
34,13,,
33,16,,
32,12,1.5727232704519039,2
31,55,0.84421358989242,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
