Iteration,SampleCount,S_SNOW_LINE,S_SNOW_LINE_Weight
58,66,,
57,164,3.4072311236639714,159
56,97,3.1073585043320824,77
55,49,2.978900662355607,45
54,33,3.135582894586099,27
53,140,3.7151750747949177,136
52,151,335954.7041454663,135
51,208,5.584179845196732,198
50,209,4.1685246503300695,190
49,252,6.253250641209045,240
48,188,2.207743014166654,162
47,68,3.0726891425427785,43
46,1243,2.62457700242371,1237
45,148,1.8431462909662697,10
44,599,2.5332631712195193,597
43,84,0.9814454162986643,4
42.0,1.0,,
41.0,3.0,,
40.0,1.0,,
39,9,2.7177709719951806,1
38,30,2.8989734887332443,29
37,6,,
36,17,,
35,22,,
34,14,3.7645596830981907,2
33,61,2.2725796125731503,28
32,8,,
31,16,,
30,11,,
29,18,,
28,12,,
27,83,,
26,3,,
25,6,,
21.0,1.0,,
20.0,3.0,,
18.0,1.0,,
