Iteration,SampleCount,S_SNOW_LINE,S_SNOW_LINE_Weight
56,54,,
55,152,0.0001351488285655115,150
54,65,0.0001729071774074035,57
53,36,0.00029213476334888816,30
52,26,0.0002945924670134526,23
51,115,0.00018804722079490688,113
50,81,738.996383884432,69
49,142,0.13454712267034658,129
48,150,0.02646970879324069,137
47,208,0.08812468692302687,196
46,175,1.525277043728482,156
45,52,1.514279496748852,37
44,1193,1.0018556595385821,1189
43,164,0.9545852611846699,10
42,609,0.9546455003471653,608
41,71,1.4093083809385516,4
40,1,,
39,3,,
38,1,,
37,7,0.26786854178937225,2
36,26,,
35,5,,
34,13,,
33,16,,
32,12,1.4455011974992502,2
31,53,0.8543123936931519,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
