Iteration,SampleCount,S_SNOW_LINE,S_SNOW_LINE_Weight
56,55,1.7750706126665907,52
55,144,0.38846004089578146,140
54,70,0.16994756405949665,52
53,43,0.18695215712141042,32
52,24,0.13930426007663968,23
51,117,0.10124093484672318,115
50,84,0.2278484815275005,74
49,136,0.1656362592234422,128
48,148,0.14006028196516646,134
47,205,0.08020158796184208,190
46,172,0.08900419412149546,147
45,63,0.06479883538661946,39
44,1228,0.07333040370380674,1226
43,127,0.0686800370665381,10
42,601,0.041022287384292595,600
41,79,0.6355458960255214,4
40,1,,
39,3,,
38,1,,
37,7,0.03787164722240677,2
36,27,,
35,4,,
34,13,,
33,16,,
32,12,0.08099894629006421,2
31,51,0.03926410465334037,24
30,10,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
