Iteration,SampleCount,S_SNOW_LINE,S_SNOW_LINE_Weight
56,50,,
55,149,0.10688268530638201,143
54,71,0.0557274166784417,56
53,35,0.04503180221438267,28
52,28,0.06772192551582681,23
51,111,0.0639611433955942,109
50,86,0.06002626505129047,70
49,138,0.04988862480696551,126
48,154,0.045550634756270775,138
47,210,0.0344313355195067,199
46,170,0.027513404729670118,154
45,54,0.0356980015850282,37
44,1218,0.026009848586384565,1214
43,139,0.025703710207193576,10
42,601,0.026467397489702102,600
41,79,0.018328740828992718,4
40,1,,
39,3,,
38,1,,
37,7,0.02106493412431165,2
36,26,,
35,5,,
34,13,,
33,16,,
32,12,0.05153993297313608,2
31,54,0.0253994776820921,27
30,7,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
