Iteration,SampleCount,S_SNOW_LINE,S_SNOW_LINE_Weight
56,54,0.8789215277598914,52
55,145,0.41054901944730104,141
54,74,0.44349590191520233,57
53,35,0.5028963841194419,29
52,26,0.5104994464239466,22
51,118,0.34475827908173523,115
50,85,0.4905145310165071,75
49,128,0.4094290434986415,121
48,154,0.36929237868715126,133
47,210,0.41782279278352513,194
46,177,0.4614183724405571,156
45,53,0.5231100676387486,38
44,1207,0.3430097245558353,1204
43,150,0.39193512473832354,11
42,614,,
41,65,0.7613502236261348,4
40,1,,
39,3,,
38,1,,
37,7,0.16784415156191645,2
36,25,,
35,6,,
34,13,,
33,16,,
32,11,0.6391309356290562,1
31,54,0.33714550531485227,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
