Iteration,SampleCount,S_SNOW_LINE,S_SNOW_LINE_Weight
56,50,,
55,152,0.5708276468363161,146
54,71,0.5072519799515001,59
53,32,0.5962767180897376,28
52,28,0.6048638921969816,23
51,113,0.42929032548879564,111
50,81,0.6047881457793532,67
49,142,0.46656456576864913,127
48,143,0.43638948425797247,128
47,210,0.46897454521141296,189
46,183,0.47596417605710534,157
45,54,0.49911596058961816,40
44,1203,0.3167685862795941,1202
43,150,0.3790240231610885,9
42,623,0.31267780388503064,621
41,58,0.129471758063741,4
40,1,,
39,3,,
38,1,,
37,7,0.24708220825525284,2
36,26,,
35,5,,
34,13,,
33,16,,
32,12,0.27051331552128044,2
31,54,0.2758623254971403,27
30,7,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
