Iteration,SampleCount,S_TEMPERATURE,S_TEMPERATURE_Weight
56,53,,
55,145,427.5746001432324,142
54,73,471.48636546500853,57
53,35,626.783609088085,29
52,28,664.7599037889726,24
51,120,477.71961298091935,119
50,80,522.2393795467394,74
49,138,550.5647198209659,130
48,144,551.7510290943612,132
47,209,719.2272197845105,192
46,180,820.6846455812964,157
45,51,1100.104504486688,37
44,1201,513.4068514684102,1197
43,156,542.9529587843551,10
42,601,502.78047004446194,600
41,79,780.2001306785578,4
40,1,,
39,3,,
38,1,,
37,7,62.74585311129158,2
36,25,,
35,6,1936.9190731250783,1
34,13,507.58950428213393,4
33,16,883.8423335903149,11
32,11,1107.0897507661464,3
31,54,515.1358208916904,41
30,8,,
29,9,,
28,4,,
27,13,507.4678146045271,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
