Iteration,SampleCount,S_TEMPERATURE,S_TEMPERATURE_Weight
56,49,,
55,151,145.28022561305804,144
54,70,1570.179372957629,56
53,37,128.87548011809878,30
52,26,301.0173464862875,23
51,113,497.99824574535205,111
50,89,7585918434.447749,75
49,135,4916.895015609575,128
48,145,23299.18316656949,131
47,214,1543.114297681195,196
46,177,726.5065285563895,158
45,52,1054.381358908519,39
44,1189,538.9014681202427,1187
43,166,566.6349046984775,10
42,620,473.3424444730045,619
41,60,991.0545469498402,4
40,1,,
39,3,,
38,1,,
37,6,0.9518193184876509,1
36,26,624.4083150722731,25
35,6,1961.2352416850154,1
34,13,510.38251117247296,4
33,15,1045.2252364415733,10
32,13,972.2150610421843,4
31,51,520.1822844595588,39
30,10,,
29,9,,
28,4,,
27,13,621.18711906723,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
