Iteration,SampleCount,S_TEMPERATURE,S_TEMPERATURE_Weight
56,51,,
55,146,250.72626988833224,141
54,77,176.1283002736697,60
53,35,265.9930778634106,32
52,23,305.9692058065056,22
51,112,178.81867698784527,109
50,91,181.61839054865877,75
49,131,202.71102133628568,124
48,155,270.89956220077664,137
47,204,161.68493937522575,192
46,176,174.63606534072977,153
45,55,192.00015883043955,37
44,1211,171.745469012655,1207
43,147,201.26245635894918,11
42,601,,
41,78,529.033084627325,4
40,1,,
39,3,,
38,1,,
37,7,252.06441696379306,2
36,26,,
35,5,259.7783567512247,1
34,13,316.118168038471,4
33,15,162.31635508230775,10
32,13,272.0869863116359,4
31,53,191.70747476990064,41
30,8,,
29,9,,
28,4,,
27,13,497.5889494335097,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
