Iteration,SampleCount,S_TEMPERATURE,S_TEMPERATURE_Weight
56,52,374.6746015097108,51
55,150,225.89476387885145,145
54,68,191.91423338815991,55
53,37,270.17129056544417,29
52,26,316.7096043680496,22
51,114,179.63358807935685,111
50,86,235.11748193923097,72
49,133,191.18642924342444,123
48,153,265.0326956499072,134
47,208,168.82015938249705,193
46,178,209.7837166288127,156
45,52,219.61820991751947,37
44,1218,229.27236182438205,1214
43,139,197.40216977481936,10
42,605,237.4644489961808,604
41,75,103.847432639001,4
40,1,,
39,3,,
38,1,,
37,7,143.56757798853323,2
36,25,,
35,6,259.3210009766499,1
34,13,302.0845436335568,4
33,15,333.0047961560851,10
32,13,290.09478300843966,4
31,51,184.96834164250328,39
30,10,,
29,9,,
28,4,,
27,13,493.8297813264635,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
