Iteration,SampleCount,S_TIDAL_LOCK,S_TIDAL_LOCK_Weight
56,51,0.0532507196,50
55,148,0.02387924852112675,142
54,70,0.017345164814814826,54
53,39,0.03301960333333332,30
52,25,0.036913440454545456,22
51,115,0.02913507910714286,112
50,90,0.017386497532467526,77
49,132,0.022581514015748025,127
48,147,0.021956304090909096,132
47,204,0.02000583796791443,187
46,183,0.020467924220779223,154
45,51,0.012986306470588231,34
44,1219,0.009342573193069293,1212
43,140,0.006721610000000001,9
42,676,0.005430439999999981,1
41,3,,
40,2,0.007474810000000054,1
39,2,,
38,1,,
37,6,0.012302266666666636,3
36,30,,
35,3,,
34,13,,
33,16,0.017808324666666674,15
32,11,0.011845460000000006,9
31,55,0.019561807599999995,25
30,7,0.004841861999999997,5
29,8,,
28,4,0.006727609999999995,3
27,13,0.02524132916666667,12
26,7,0.021045494999999997,6
25,61,,
24,6,,
23,3,,
19,1,,
16,1,,
