Iteration,SampleCount,S_TIDAL_LOCK,S_TIDAL_LOCK_Weight
56,50,0.039975003755102045,49
55,139,0.04262519885482093,132
54,83,0.03810167327914303,57
53,38,0.05547847929512867,32
52,24,0.03766656721647048,23
51,113,0.039561636104790125,111
50,89,0.04397690704546626,75
49,136,0.04758834001573358,129
48,151,0.040782938985507236,138
47,204,0.05447679726797909,193
46,179,0.05021751472064943,156
45,50,0.07014733137035338,35
44,1214,0.01963169460580267,1208
43,144,0.023275941218190783,9
42,676,0.0012462397500197508,1
41,4,,
40,1,,
39,3,,
37,7,0.01621266521069778,4
36,29,,
35,2,,
34,12,0.09878448991951735,11
33,17,0.051695294212598115,14
32,12,0.0343574701914109,9
31,53,0.03398413422084889,23
30,8,0.03330409610194136,4
29,10,0.051993944652139495,9
28,4,,
27,10,,
26,8,0.07652737973597626,5
25,62,0.10222265503001687,61
24,6,,
23,3,,
19,1,,
16,1,,
