Iteration,SampleCount,S_TIDAL_LOCK,S_TIDAL_LOCK_Weight
56,52,0.03762255111351864,51
55,151,0.04351195508207716,146
54,69,0.17991870269179655,57
53,33,0.06744490366896597,27
52,28,0.13443442107443884,22
51,114,0.15227844937186139,111
50,88,25902867.812076002,74
49,136,6.2597238846992695,128
48,148,18.596780318698777,134
47,212,297.5818101572771,197
46,169,188423.17520262278,150
45,57,1125947.3677733226,36
44,1203,10800.164078081492,1198
43,154,2228.2339981074983,9
42,676,2997.503258704125,1
41,3,,
40,2,1802.7807035735227,1
39,1,,
38,3,4225.447349464691,1
37,6,21994.9025790193,4
36,29,,
35,3,,
34,13,,
33,16,3498.8053884772444,15
32,12,5122.541979968363,10
31,54,3770.743622959862,25
30,7,9594.75533865743,5
29,7,,
28,6,3423.8250800234223,4
27,13,,
26,6,,
25,60,,
24,7,,
23,3,,
19,1,,
16,1,,
