Iteration,SampleCount,S_TIDAL_LOCK,S_TIDAL_LOCK_Weight
56,52,,
55,147,0.03709771894875192,143
54,74,0.027757329323495658,59
53,35,0.02815998002168114,31
52,23,0.05491246707542492,21
51,114,0.03785061711773621,110
50,89,0.03655533762202778,74
49,140,0.03258390526911265,132
48,144,0.029056709812838363,134
47,217,0.03484337282326415,202
46,153,0.025679227119394316,139
45,67,0.027580560241221692,35
44,1206,0.01647562574123979,1200
43,152,0.021184147239318787,9
42,676,0.003395585269432677,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.03196651911981889,5
36,28,,
35,3,,
34,11,,
33,16,0.02325904361145764,13
32,12,0.025904289167519606,8
31,56,0.0325635423588011,25
30,7,0.01789913172264752,5
29,7,,
28,6,0.02076281868868589,4
27,10,,
26,9,0.06880159363883596,6
25,65,,
24,2,,
23,1,,
22,2,,
19,1,,
16,1,,
