Iteration,SampleCount,S_TIDAL_LOCK,S_TIDAL_LOCK_Weight
56,51,,
55,147,0.03069310883787878,142
54,73,0.025440888510626057,57
53,35,0.036130035261807546,29
52,25,0.037676915490017726,21
51,113,0.04689451651297435,109
50,86,0.03227137448433542,70
49,137,0.029529003060197383,125
48,155,0.03364571108924951,138
47,203,0.03938474517446867,192
46,174,0.03529250010531505,150
45,57,0.03146819548024332,36
44,1223,0.02909592828517796,1218
43,134,0.03171720168326328,9
42,676,0.0468555174785093,1
41,3,,
40,2,0.001977730432519642,1
39,2,,
38,2,0.01607807459266708,1
37,6,0.054592069924265116,4
36,29,,
35,3,,
34,11,,
33,16,0.0368758752291741,13
32,13,0.030082217862125542,9
31,54,0.03469615273868775,24
30,7,0.03425896497238201,4
29,7,0.0493510194885054,6
28,6,0.070595249457438,3
27,14,0.05879556891974696,13
26,5,,
25,62,0.05818062701773623,61
24,6,,
23,3,,
19,1,,
16,1,,
