Iteration,SampleCount,S_TIDAL_LOCK,S_TIDAL_LOCK_Weight
56,56,0.040263473959488684,54
55,141,0.034410779780363596,139
54,79,0.023513288100193253,60
53,34,0.04025652936462347,31
52,25,0.03687637646017572,23
51,116,0.04566622684873469,114
50,83,0.024357433217336508,72
49,139,0.03117637934191653,129
48,138,0.03258017862903922,125
47,213,0.03880359884159187,189
46,184,0.035372890442992286,157
45,49,0.032778146309431676,35
44,1217,0.028765959063021648,1211
43,141,0.03037071084324235,9
42,676,0.021888239244022056,1
41,4,,
40,1,,
39,2,,
38,2,0.0002838055470259504,1
37,6,0.05603352632251549,4
36,29,,
35,3,,
34,13,,
33,11,0.038449520730558275,10
32,16,0.0179112888816677,9
31,53,0.03126219226063393,23
30,8,0.02757158163804045,4
29,10,0.031993830247209004,9
28,4,,
27,12,,
26,7,0.04510269727882233,6
25,59,,
24,8,,
23,3,,
19,1,,
16,1,,
