Iteration,SampleCount,P_DENSITY,P_DENSITY_Weight
58,65,0.45120051330184663,62
57,171,0.315722249491981,162
56,92,4.09058342915924,75
55,50,0.5032329479877875,44
54,34,3.124742186195519,27
53,139,2.595186341624345,135
52,161,4.055934645245368,26
51,218,2.2891253637725146,9
50,199,106.20073788933934,18
49,269,,
48,187,30.652770788531125,4
47,49,,
46,1375,,
45,12,,
44,677,,
43.0,4.0,,
42.0,1.0,,
41.0,2.0,,
40,2,0.07052637786170371,1
39,9,,
38,30,37.338906351843406,29
37,6,,
36,16,0.7630235003086236,6
35,23,20.84619251489355,6
34,14,8.86918466185934,9
33,62,,
32,7,,
31,16,,
30,11,3.6976362115718846,1
29,18,,
28,12,,
27,83,,
26,3,,
25,6,,
21.0,1.0,,
20.0,3.0,,
18.0,1.0,,
