Iteration,SampleCount,P_DISTANCE_EFF,P_DISTANCE_EFF_Weight
58,63,0.15328747819466315,62
57,174,0.07471000418637957,165
56,88,0.15371868830046834,74
55,52,0.11382783139103939,45
54,34,0.07839880696211186,28
53,148,5.409085657958359,145
52,142,61.99526638636788,135
51,202,2.813055363869855,192
50,206,7.3270512853144965,181
49,253,1.0494154529523947,232
48,203,0.23604398312914532,169
47,62,3.2940554356663796,44
46,1225,0.4327301549693589,1220
45,167,0.4483734197490234,12
44,613,,
43,67,0.8515762547941756,3
42,2,0.029166363965933882,1
41.0,3.0,,
40.0,1.0,,
39,9,0.34141554624001286,7
38,33,,
37,3,,
36,17,,
35,21,,
34,14,9.767275881203876,11
33,61,1.7005231212997305,31
32,8,1.1328453543217991,6
31,15,170.43047315049014,14
30,13,179.10482385914872,11
29,14,,
28,16,241.97490201290154,12
27,77,,
26,9,249.4712146763399,3
25,6,,
21.0,1.0,,
20.0,3.0,,
18.0,1.0,,
