Iteration,SampleCount,P_ECCENTRICITY,P_ECCENTRICITY_Weight
56,54,,
55,140,0.21127881619508068,135
54,79,2.3029620187519138,48
53,34,0.30002574150894695,13
52,26,0.6193040469130501,8
51,120,0.16577664210336115,79
50,85,69226449.65072505,68
49,131,23.687388189019753,124
48,147,1.1346868489639084,109
47,211,0.6880306525230756,140
46,185,0.7786046585955958,39
45,46,0.44265347259873156,8
44,1344,0.34425253450086535,2
43,12,,
42,675,,
41.0,4.0,,
40.0,1.0,,
39.0,3.0,,
38.0,1.0,,
37,7,0.25406237293239187,4
36.0,28.0,,
35,3,,
34,13,,
33,15,,
32,13,0.6422819365917793,4
31,53,0.5249973661934938,24
30,8,1.1988558763121429,4
29,9,0.9145827437144675,3
28,4,1.3855631914046669,1
27,13,0.9622630774942615,8
26,6,,
25,67,,
23.0,3.0,,
19.0,1.0,,
16.0,1.0,,
