Iteration,SampleCount,P_HILL_SPHERE,P_HILL_SPHERE_Weight
56,50,0.004827916374003251,49
55,145,0.003393368870088542,138
54,77,0.00511284903186082,57
53,36,0.003156663545806114,30
52,24,0.0033311001843306033,21
51,116,0.014751604251842694,112
50,82,0.10902453688728932,66
49,145,6866499.115823115,106
48,151,9041601.567056451,112
47,210,27394710.9975175,134
46,181,2434279.949348724,26
45,42,17800662.267385554,8
44,1345,15.742520722061624,1
43,11,,
42,675,,
41.0,4.0,,
40.0,1.0,,
39.0,3.0,,
38.0,1.0,,
37,6,11.045760752874365,4
36,29,,
35,3,,
34,13,,
33,13,27.590573600873903,12
32,15,16.312496856229693,9
31,54,8860778.197418826,25
30,6,44.786473741900316,4
29,10,1496947.788910756,3
28,4,2247453.20491071,2
27,13,1015923.4187258203,6
26,6,1318644.5032960977,5
25,61,1113534.9296802108,42
24.0,6.0,,
23.0,1.0,,
22.0,2.0,,
19.0,1.0,,
16.0,1.0,,
