Iteration,SampleCount,P_INCLINATION,P_INCLINATION_Weight
58,60,,
57,169,86.26588781643446,158
56,96,86.24448683937378,72
55,49,86.28635181386561,39
54,36,87.31470903387931,21
53,141,85.32185038365209,99
52,153,630345797.0972433,22
51,220,87.26962419604178,34
50,202,88.33703424449357,31
49,265,89.18482975870282,49
48,189,87.10716510977521,23
47,50,85.9476750967044,16
46,1372,86.44121361002051,58
45,15,88.99057600334626,8
44,678,,
43.0,4.0,,
42.0,1.0,,
41.0,3.0,,
40.0,1.0,,
39,10,89.89266285924853,8
38.0,32.0,,
37,3,,
36,16,70.28841982692244,10
35,23,59.60620539059691,2
34,13,83.25217659676676,2
33,63,77.97853602355266,3
32,7,63.65113024015857,3
31,16,60.16188405211033,3
30,10,59.43831086537984,5
29,19,52.26313613807966,1
28,12,,
27,83,,
26,3,,
25,5,49.6539120053104,1
24.0,1.0,,
21.0,1.0,,
20.0,3.0,,
18.0,1.0,,
