Iteration,SampleCount,P_PERIASTRON,P_PERIASTRON_Weight
58,65,,
57,170,0.08248138379587253,164
56,88,0.14506365603234375,73
55,53,0.09385636106200493,45
54,34,0.07832482891715321,28
53,142,5.625815011576546,139
52,145,197.51675991283494,132
51,208,2.3566795493342396,195
50,202,7.202263863033816,180
49,262,0.78164450145584,240
48,198,0.15906439377133266,172
47,62,3.1125406767405646,47
46,1226,0.23026723623291126,1224
45,161,0.519526399419712,10
44,605,0.13780506487633382,603
43,78,1.1811428274893425,4
42.0,1.0,,
41.0,3.0,,
40.0,1.0,,
39,10,0.32623575196895954,8
38.0,32.0,,
37,3,,
36,14,,
35,22,112.23235171957396,19
34,16,9.623132726887711,11
33,61,1.431345076886942,31
32,9,0.7903392118075704,7
31,16,,
30,9,,
29,19,66.32692545183146,17
28,13,241.98536806614456,12
27,76,,
26,10,249.47534267913366,3
25,5,,
24.0,1.0,,
21.0,1.0,,
20.0,3.0,,
18.0,1.0,,
