Iteration,SampleCount,P_RADIUS,P_RADIUS_Weight
58,65,10.848000496083678,64
57,168,11.387997783394429,161
56,92,10.087033244629417,74
55,56,9.03901243363854,49
54,31,9.634590917834776,29
53,144,11.682716426127703,142
52,150,240790.7236135156,25
51,219,4.330479332206669,33
50,200,2.566186911244245,48
49,266,2.6647497526564,64
48,180,3.4657207515200215,138
47,58,2.416036743940205,31
46,1229,2.4896997340776856,1221
45,161,3.0433408802122557,11
44,601,2.165127491208839,599
43,80,,
42.0,1.0,,
41.0,3.0,,
40.0,1.0,,
39,9,,
38,32,2.8218031517837896,31
37,4,,
36,17,7.20783432782955,7
35,22,12.647967856001301,6
34,12,7.534828178954214,8
33,63,2.1295940977551995,28
32,8,,
31,15,2.558293369695626,5
30,11,9.611367401089224,3
29,18,2.7695675807905222,6
28,13,1.6010327434187146,1
27,80,1.3018731666437777,13
26,6,,
25,6,,
21.0,1.0,,
20.0,3.0,,
18.0,1.0,,
