Iteration,SampleCount,P_SEMI_MAJOR_AXIS_EST,P_SEMI_MAJOR_AXIS_EST_Weight
58,64,,
57,173,0.0858112778092968,166
56,87,0.15287497844734854,74
55,52,0.11331268032100227,45
54,36,0.07527983083828656,30
53,143,5.508851549321708,142
52,141,1028.5099078709377,131
51,206,2.341328321038145,192
50,212,7.135247704221833,187
49,245,1.0701694772668424,230
48,212,0.22393601577771688,176
47,57,3.152553410643362,46
46,1230,0.4245931191295159,1227
45,159,0.4774929249596768,11
44,603,0.14253453698324145,602
43,79,1.182965981826207,4
42.0,1.0,,
41.0,3.0,,
40.0,1.0,,
39,8,0.2720224166139122,6
38,34,,
37,3,,
36,16,,
35,19,119.65294108811689,18
34,18,8.95758264653564,12
33,59,2.348749231530129,30
32,10,1.368034951768844,7
31,15,,
30,11,196.4681306189705,10
29,17,28.801841770328913,16
28,12,38.970950360700854,10
27,75,1.8177652478026227,73
26,13,249.4727154263711,3
25,6,,
21.0,1.0,,
20.0,3.0,,
18.0,1.0,,
