Iteration,SampleCount,P_TEMP_EQUIL,P_TEMP_EQUIL_Weight
58,66,1080.7850586630998,64
57,162,1231.0629922836185,155
56,97,1158.211522180311,73
55,57,1074.3725522253687,49
54,33,1100.8582080852839,31
53,144,,
52,140,11516798.67082835,132
51,203,456.7807075389494,190
50,208,523.0305320370533,181
49,266,529.0374605214465,245
48,187,771.663395210138,166
47,64,581.5750582142226,43
46,1231,854.6054679843041,1225
45,162,582.8904362565111,12
44,611,,
43,70,503.35349507664233,4
42.0,1.0,,
41.0,3.0,,
40.0,1.0,,
39,10,,
38.0,32.0,,
37,3,,
36,17,,
35,22,,
34,14,,
33,62,,
32,7,,
31,16,,
30,11,,
29,18,,
28,12,,
27,83,,
26,3,,
25,6,,
21.0,1.0,,
20.0,3.0,,
18.0,1.0,,
