Iteration,SampleCount,S_HZ_CON_MIN,S_HZ_CON_MIN_Weight
56,52,0.23156876283170555,51
55,150,0.024021490994567123,145
54,73,0.005617624549189929,60
53,34,0.005275457575551091,31
52,22,0.006249081570080668,20
51,116,0.013571022929169608,111
50,87,3408896.943649058,73
49,138,0.06392483045122711,129
48,151,1.699225819054216,138
47,207,1458.3072562464545,196
46,177,39572.45392387405,158
45,46,79242.96926716481,33
44,1207,15322.912124921211,1199
43,155,3066.665822362706,11
42,609,,
41,70,25627.269885045636,4
40.0,1.0,,
39.0,3.0,,
38.0,1.0,,
37,7,2829.711673614811,2
36.0,21.0,,
35,10,,
34,13,,
33,16,,
32,12,2735.5407718176525,2
31,53,722.4225174980941,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23.0,3.0,,
19.0,1.0,,
16.0,1.0,,
