Iteration,SampleCount,S_LOG_G,S_LOG_G_Weight
56,50,0.19762200448872516,48
55,148,0.40911131697777475,139
54,72,6.208300410684128,53
53,41,0.5694736162573825,24
52,25,0.6663145616225052,19
51,109,0.6507217324801604,96
50,93,14441581.555320561,70
49,140,11.509208875722846,108
48,148,5.245458840274078,122
47,207,1.1722419131441904,184
46,176,3.693602147055799,119
45,50,0.5733037415268517,25
44,1222,0.5983732216032817,1210
43,135,1.3580925326594042,4
42.0,599.0,,
41,80,,
40.0,1.0,,
39.0,3.0,,
38.0,1.0,,
37,7,0.25529607092647905,3
36.0,23.0,,
35,8,0.5113853624664091,2
34,13,,
33,16,2.234996205428839,2
32,11,,
31,53,0.9015790257417156,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23.0,3.0,,
19.0,1.0,,
16.0,1.0,,
