Iteration,SampleCount,S_LUMINOSITY,S_LUMINOSITY_Weight
56,50,,
55,152,0.39478044520022393,146
54,68,0.5958284067834544,56
53,37,0.19794690332724507,30
52,25,0.18116461223507382,22
51,115,0.394747815370544,112
50,88,153875469.98930869,75
49,135,201.2007946680839,128
48,148,0.8931630348479165,134
47,207,0.22520972595198213,192
46,177,0.2217635827968577,154
45,53,1.605486523247187,36
44,1207,0.20695258689456747,1202
43,150,0.8082932794068854,9
42,621,0.7717614106121513,619
41,58,1.1016048655456978,2
40,3,,
39.0,3.0,,
38.0,1.0,,
37,7,2.9631933753153743,2
36.0,23.0,,
35,8,,
34,13,,
33,16,,
32,12,1.1374907337387357,2
31,51,0.8698496594430672,24
30,10,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23.0,3.0,,
19.0,1.0,,
16.0,1.0,,
