Iteration,SampleCount,S_MASS,S_MASS_Weight
56,52,0.06836522089677703,51
55,148,0.10455523582813624,143
54,77,0.6234363576870472,62
53,32,0.11022396903605232,31
52,26,0.20957757928253465,24
51,116,0.2252235064289492,115
50,84,39332805.064132616,74
49,136,5.538825793870716,128
48,146,0.30692675951565423,132
47,215,0.40346777211306145,198
46,167,0.06834866477226424,149
45,55,0.26831066236871415,33
44,1207,0.13292309991806942,1199
43,153,0.1606682762943281,9
42,676,0.059000844228462634,1
41.0,4.0,,
39,4,0.0853577716851891,3
38.0,1.0,,
37,6,0.06013772025239911,4
36,29,,
35,2,,
34,13,0.375915044473165,12
33,16,0.3650959732787769,14
32,12,0.19555375060713062,9
31,53,0.18630916962669347,23
30,8,0.1275700637845587,4
29,8,0.16862545828515396,7
28,6,0.2798538940855998,4
27,11,,
26,8,0.4099466390181078,6
25,61,,
24,6,,
23.0,1.0,,
22.0,2.0,,
19.0,1.0,,
16.0,1.0,,
